2023-06-30 20:26:12,335: root: INFO: TrendFollowingStrategy : Executing the initialize lifecycle method
2023-06-30 20:26:13,165: alpaca_trade_api.stream: INFO: connected to: wss://paper-api.alpaca.markets/stream/
2023-06-30 20:27:37,045: root: INFO: Getting historical prices for NVDA, 5 bars, day
2023-06-30 20:27:37,372: root: INFO: Getting historical prices for NVDA, 430 bars, day
2023-06-30 20:27:37,669: root: INFO: Getting historical prices for AAPL, 5 bars, day
2023-06-30 20:27:37,955: root: INFO: Getting historical prices for AAPL, 430 bars, day
2023-06-30 20:27:38,250: root: INFO: Getting historical prices for TSLA, 430 bars, day
2023-06-30 20:27:38,550: root: INFO: Getting historical prices for PLTR, 5 bars, day
2023-06-30 20:27:38,868: root: INFO: Getting historical prices for PLTR, 430 bars, day
2023-06-30 20:27:39,162: root: INFO: Getting historical prices for AMZN, 5 bars, day
2023-06-30 20:27:39,459: root: INFO: Getting historical prices for AMZN, 430 bars, day
2023-06-30 20:27:39,763: root: INFO: Getting historical prices for F, 430 bars, day
2023-06-30 20:27:40,058: root: INFO: Getting historical prices for AI, 5 bars, day
2023-06-30 20:27:40,406: root: INFO: Getting historical prices for AI, 430 bars, day
2023-06-30 20:27:40,710: root: INFO: Getting historical prices for GOOGL, 430 bars, day
2023-06-30 20:27:41,009: root: INFO: Getting historical prices for IBM, 430 bars, day
2023-06-30 20:27:41,355: root: INFO: Getting historical prices for META, 5 bars, day
2023-06-30 20:27:41,642: root: INFO: Getting historical prices for META, 430 bars, day
2023-06-30 20:27:41,952: root: INFO: Getting historical prices for BAC, 430 bars, day
2023-06-30 20:27:42,247: root: INFO: Getting historical prices for BABA, 430 bars, day
2023-06-30 20:27:42,543: root: INFO: Getting historical prices for GOOG, 430 bars, day
2023-06-30 20:27:42,840: root: INFO: Getting historical prices for SONY, 5 bars, day
2023-06-30 20:27:43,129: root: INFO: Getting historical prices for SONY, 430 bars, day
2023-06-30 20:27:43,435: root: INFO: Getting historical prices for ASML, 5 bars, day
2023-06-30 20:27:43,719: root: INFO: Getting historical prices for ASML, 430 bars, day
2023-06-30 20:27:44,086: root: INFO: Getting historical prices for SAP, 5 bars, day
2023-06-30 20:27:44,376: root: INFO: Getting historical prices for SAP, 430 bars, day
2023-06-30 20:27:44,732: root: INFO: Getting historical prices for TSM, 5 bars, day
2023-06-30 20:27:45,016: root: INFO: Getting historical prices for TSM, 430 bars, day
2023-06-30 20:27:45,334: root: INFO: Getting historical prices for MU, 5 bars, day
2023-06-30 20:27:45,661: root: INFO: Getting historical prices for MU, 430 bars, day
2023-06-30 20:27:45,959: root: INFO: Getting historical prices for VMW, 5 bars, day
2023-06-30 20:27:46,272: root: INFO: Getting historical prices for VMW, 430 bars, day
2023-06-30 20:27:46,577: root: INFO: Getting historical prices for DELL, 5 bars, day
2023-06-30 20:27:46,870: root: INFO: Getting historical prices for DELL, 430 bars, day
2023-06-30 20:27:47,209: root: INFO: Getting historical prices for HPQ, 5 bars, day
2023-06-30 20:27:47,491: root: INFO: Getting historical prices for HPQ, 430 bars, day
2023-06-30 20:27:47,795: root: INFO: Getting historical prices for NET, 430 bars, day
2023-06-30 20:27:48,522: root: INFO: Getting historical prices for STX, 430 bars, day
2023-06-30 20:27:48,663: root: INFO: market order of | 0 NET buy | with status error did not go through. The following error occured: qty must be > 0
2023-06-30 20:27:48,882: root: INFO: Getting historical prices for JNPR, 430 bars, day
2023-06-30 20:27:49,192: root: INFO: Getting historical prices for LOGI, 5 bars, day
2023-06-30 20:27:49,505: root: INFO: Getting historical prices for LOGI, 430 bars, day
2023-06-30 20:27:49,864: root: INFO: Getting historical prices for SONO, 430 bars, day
2023-06-30 20:27:50,173: root: INFO: Getting historical prices for CRSR, 5 bars, day
2023-06-30 20:27:50,501: root: INFO: Getting historical prices for CRSR, 430 bars, day
2023-06-30 20:27:50,835: root: INFO: Getting historical prices for NTGR, 430 bars, day
2023-06-30 20:27:51,277: root: INFO: TrendFollowingStrategy : Sleeping for 60 seconds
2023-06-30 20:28:51,874: root: INFO: TrendFollowingStrategy : Executing the on_trading_iteration lifecycle method
2023-06-30 20:28:52,638: root: INFO: Getting historical prices for AMD, 5 bars, day
2023-06-30 20:28:52,932: root: INFO: Getting historical prices for AMD, 430 bars, day
2023-06-30 20:28:53,238: root: INFO: Getting historical prices for INTC, 5 bars, day
2023-06-30 20:28:53,522: root: INFO: Getting historical prices for INTC, 430 bars, day
2023-06-30 20:28:53,838: root: INFO: Getting historical prices for NVDA, 5 bars, day
2023-06-30 20:28:54,121: root: INFO: Getting historical prices for NVDA, 430 bars, day
2023-06-30 20:28:54,425: root: INFO: Getting historical prices for AAPL, 5 bars, day
2023-06-30 20:28:54,730: root: INFO: Getting historical prices for AAPL, 430 bars, day
2023-06-30 20:28:55,036: root: INFO: Getting historical prices for TSLA, 430 bars, day
2023-06-30 20:28:55,340: root: INFO: Getting historical prices for PLTR, 5 bars, day
2023-06-30 20:28:55,630: root: INFO: Getting historical prices for PLTR, 430 bars, day
2023-06-30 20:28:55,931: root: INFO: Getting historical prices for AMZN, 5 bars, day
2023-06-30 20:28:56,216: root: INFO: Getting historical prices for AMZN, 430 bars, day
2023-06-30 20:28:56,523: root: INFO: Getting historical prices for F, 430 bars, day
